-22	0	50	0.3412	0	1.1584	-1.2019	0.1015	0.0161	0	0.0213	0	0.1176	-74.65217391
-20	0	50	0.3181	0	1.1663	-1.2048	0.0847	0.0153	0	0.0179	0	0.1	-78.74509804
-18	0	50	0.2844	0	1.1464	-1.1781	0.0692	0.0146	0	0.0159	0	0.0838	-80.69178082
-16	0	50	0.229	0	1.0485	-1.071	0.0552	0.0137	0	0.0136	0	0.0689	-78.17518248
-14	0	50	0.189	0	0.988	-1.0044	0.0427	0.013	0	0.0122	0	0.0557	-77.26153846
-12	0	50	0.1484	0	0.91	-0.921	0.0316	0.0124	0	0.011	0	0.044	-74.27419355
-10	0	50	0.1094	0	0.8166	-0.8232	0.0222	0.0118	0	0.0097	0	0.034	-69.76271186
-8	0	50	0.0987	0	0.8868	-0.8919	0.0144	0.0113	0	0.0084	0	0.0257	-78.92920354
-6	0	50	0.0483	0	0.6425	-0.644	0.0083	0.0109	0	0.007	0	0.0192	-59.08256881
-4	0	50	0.0158	0	0.4324	-0.4324	0.0038	0.0106	0	0.0056	0	0.0144	-40.79245283
-2	0	50	-0.0037	0	0.2203	-0.2201	0.001	0.0104	0	0.0042	0	0.0114	-21.16346154
0	0	50	-0.0103	0	0.0073	-0.0073	0	0.0103	0	0.0028	0	0.0103	-0.708737864
2	0	50	-0.0039	0	-0.2059	0.2057	0.0007	0.0104	0	0.0014	0	0.0111	19.77884615
4	0	50	0.0155	0	-0.4181	0.4181	0.0031	0.0106	0	-0.0001	0	0.0137	39.44339623
6	0	50	0.0529	0	-0.6766	0.6784	0.0072	0.0109	0	-0.0015	0	0.0181	62.23853211
8	0	50	0.0968	0	-0.8636	0.8687	0.013	0.0114	0	-0.0029	0	0.0244	76.20175439
10	0	50	0.11	0	-0.8099	0.8167	0.0205	0.0118	0	-0.0043	0	0.0323	69.21186441
12	0	50	0.1491	0	-0.9034	0.9147	0.0296	0.0124	0	-0.0056	0	0.042	73.76612903
14	0	50	0.1899	0	-0.9816	0.9984	0.0402	0.013	0	-0.007	0	0.0532	76.8
16	0	50	0.2286	0	-1.0378	1.0606	0.0525	0.0138	0	-0.0092	0	0.0663	76.85507246
18	0	50	0.2843	0	-1.1364	1.1686	0.0662	0.0146	0	-0.0114	0	0.0808	80.04109589
20	0	50	0.3181	0	-1.1566	1.1957	0.0813	0.0153	0	-0.0133	0	0.0966	78.1503268
22	0	50	0.341	0	-1.1482	1.1924	0.0978	0.0161	0	-0.0165	0	0.1139	74.0621118
24	0	50	0.3432	0	-1.0965	1.1413	0.1156	0.0169	0	-0.0217	0	0.1325	67.53254438
26	0	50	0.3764	0	-1.1197	1.1714	0.1346	0.018	0	-0.028	0	0.1526	65.07777778
28	0	50	0.4004	0	-1.1223	1.1789	0.1546	0.0188	0	-0.0373	0	0.1734	62.70744681
30	0	50	0.4168	0	-1.1135	1.1727	0.1758	0.02	0	-0.0477	0	0.1958	58.635
32	0	50	0.4309	0	-1.1024	1.1632	0.198	0.0208	0	-0.0567	0	0.2188	55.92307692
34	0	50	0.4412	0	-1.0885	1.1491	0.2209	0.022	0	-0.0683	0	0.2429	52.23181818
36	0	50	0.3705	0	-0.965	0.9985	0.2446	0.0228	0	-0.078	0	0.2674	43.79385965
38	0	50	0.3719	0	-0.9521	0.9792	0.269	0.0241	0	-0.0873	0	0.2931	40.63070539
